SourceFile,SourceCreated,SourceModified,SourceAccessed,AppId,AppIdDescription,DestListVersion,LastUsedEntryNumber,MRU,EntryNumber,CreationTime,LastModified,Hostname,MacAddress,Path,InteractionCount,PinStatus,FileBirthDroid,FileDroid,VolumeBirthDroid,VolumeDroid,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,CommonPath,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,TrackerCreatedOn,ExtraBlocksPresent,Arguments,Notes
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\AutomaticDestinations\ecd1a5e2c3af9c46.automaticDestinations-ms,2019-01-21 05:00:45,2019-01-21 19:15:47,2022-10-07 05:06:43,ecd1a5e2c3af9c46,LibreOffice 5.1.0.3 Press,4,4,3,1,,2019-01-21 05:04:41,,,E:\Alloys.ppt,3,False,,,,,2019-01-21 04:59:57,2019-01-21 04:56:56,2019-01-21 04:59:56,946688,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",6A018124,Shield_USB,E:\Alloys.ppt,,E:\\,0xA02C0,,,,,PropertyStoreDataBlock,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2019-01-19 03:12:58,2019-01-21 19:16:14,2022-10-07 05:06:43,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,14,0,A,2019-01-20 21:12:02,2019-01-21 19:16:10,avengers01,34:68:95:94:f8:5c,C:\Users\srogers\Documents\USB Backup\Personal,2,False,081b8cf9-1cf8-11e9-abc8-34689594f85c,081b8cf9-1cf8-11e9-abc8-34689594f85c,e95f98a4-5003-4af7-af19-1e01307a1dad,e95f98a4-5003-4af7-af19-1e01307a1dad,2019-01-21 05:06:54,2019-01-21 19:16:11,2019-01-21 19:16:11,4096,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),EA174897,,C:\Users\srogers\Documents\USB Backup\Personal,,My Computer\C:\\\\\,0x17927,0x4,avengers01,34:68:95:94:f8:5c,2019-01-20 21:12:02,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2019-01-19 03:12:58,2019-01-21 19:16:14,2022-10-07 05:06:43,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,14,1,9,2019-01-20 21:12:02,2019-01-21 19:15:47,avengers01,34:68:95:94:f8:5c,C:\Users\srogers\Documents\USB Backup,4,False,081b8cf8-1cf8-11e9-abc8-34689594f85c,081b8cf8-1cf8-11e9-abc8-34689594f85c,e95f98a4-5003-4af7-af19-1e01307a1dad,e95f98a4-5003-4af7-af19-1e01307a1dad,2019-01-21 05:06:45,2019-01-21 19:15:49,2019-01-21 19:15:49,4096,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),EA174897,,C:\Users\srogers\Documents\USB Backup,,My Computer\C:\\\\,0x1777D,0x4,avengers01,34:68:95:94:f8:5c,2019-01-20 21:12:02,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2019-01-19 03:12:58,2019-01-21 19:16:14,2022-10-07 05:06:43,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,14,2,E,2019-01-20 21:12:02,2019-01-21 16:57:05,avengers01,34:68:95:94:f8:5c,C:\Users\srogers\Downloads\shielddocuments,1,False,081b8f38-1cf8-11e9-abc8-34689594f85c,081b8f38-1cf8-11e9-abc8-34689594f85c,e95f98a4-5003-4af7-af19-1e01307a1dad,e95f98a4-5003-4af7-af19-1e01307a1dad,2019-01-21 16:57:05,2019-01-21 16:57:05,2019-01-21 16:57:05,4096,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),EA174897,,C:\Users\srogers\Downloads\shielddocuments,,My Computer\C:\Users\\Downloads\,0xA564,0xA,avengers01,34:68:95:94:f8:5c,2019-01-20 21:12:02,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2019-01-19 03:12:58,2019-01-21 19:16:14,2022-10-07 05:06:43,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,14,3,3,2019-01-19 06:06:35,2019-01-21 05:23:13,desktop-16pttv2,34:68:95:94:f8:5c,knownfolder:{FDD39AD0-238F-46AF-ADB4-6C85480369C7} ==> Documents,6,True,60470368-1bb0-11e9-abc4-34689594f85c,60470368-1bb0-11e9-abc4-34689594f85c,e95f98a4-5003-4af7-af19-1e01307a1dad,e95f98a4-5003-4af7-af19-1e01307a1dad,2019-01-19 03:11:57,2019-01-21 05:23:12,2019-01-21 05:23:12,4096,,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),EA174897,,C:\Users\srogers\Documents,,My Computer\Documents,,,avengers01,34:68:95:94:f8:5c,2019-01-19 06:06:35,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2019-01-19 03:12:58,2019-01-21 19:16:14,2022-10-07 05:06:43,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,14,4,D,2019-01-20 21:12:02,2019-01-21 05:21:26,avengers01,34:68:95:94:f8:5c,C:\Users\srogers\Documents\USB Backup\Shield Documents,1,False,081b8def-1cf8-11e9-abc8-34689594f85c,081b8def-1cf8-11e9-abc8-34689594f85c,e95f98a4-5003-4af7-af19-1e01307a1dad,e95f98a4-5003-4af7-af19-1e01307a1dad,2019-01-21 05:21:26,2019-01-21 05:21:26,2019-01-21 05:21:26,4096,,,"FileAttributeDirectory, FileAttributeArchive","HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),EA174897,,C:\Users\srogers\Documents\USB Backup\Shield Documents,,My Computer\C:\\\\\,0x18444,0x10,avengers01,34:68:95:94:f8:5c,2019-01-20 21:12:02,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2019-01-19 03:12:58,2019-01-21 19:16:14,2022-10-07 05:06:43,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,14,5,B,2019-01-20 21:12:02,2019-01-21 05:21:16,avengers01,34:68:95:94:f8:5c,C:\Users\srogers\Dropbox\Shield Documents,3,False,081b8cfa-1cf8-11e9-abc8-34689594f85c,081b8cfa-1cf8-11e9-abc8-34689594f85c,e95f98a4-5003-4af7-af19-1e01307a1dad,e95f98a4-5003-4af7-af19-1e01307a1dad,2019-01-21 05:06:54,2019-01-21 05:07:41,2019-01-21 05:07:41,4096,,,"FileAttributeDirectory, FileAttributeArchive","HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),EA174897,,C:\Users\srogers\Dropbox\Shield Documents,,Shared Documents Folder (Users Files)\\,0x17932,0x4,avengers01,34:68:95:94:f8:5c,2019-01-20 21:12:02,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2019-01-19 03:12:58,2019-01-21 19:16:14,2022-10-07 05:06:43,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,14,6,C,2019-01-20 21:12:02,2019-01-21 05:21:16,avengers01,34:68:95:94:f8:5c,C:\Users\srogers\Dropbox,1,False,081b8dee-1cf8-11e9-abc8-34689594f85c,081b8dee-1cf8-11e9-abc8-34689594f85c,e95f98a4-5003-4af7-af19-1e01307a1dad,e95f98a4-5003-4af7-af19-1e01307a1dad,2019-01-21 05:09:39,2019-01-21 05:21:16,2019-01-21 05:21:16,4096,,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),EA174897,,C:\Users\srogers\Dropbox,,My Computer\C:\\\,0x1777F,0xF,avengers01,34:68:95:94:f8:5c,2019-01-20 21:12:02,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2019-01-19 03:12:58,2019-01-21 19:16:14,2022-10-07 05:06:43,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,14,7,8,,2019-01-21 05:06:24,,,E:\Personal,1,False,,,,,2019-01-21 04:59:17,2019-01-21 04:54:20,2019-01-21 04:59:16,0,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",6A018124,Shield_USB,E:\Personal,,My Computer\E:\,0xA00E0,,,,,PropertyStoreDataBlock,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2019-01-19 03:12:58,2019-01-21 19:16:14,2022-10-07 05:06:43,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,14,8,7,,2019-01-21 05:06:18,,,E:\Shield Documents,2,False,,,,,2019-01-21 04:59:17,2019-01-21 04:57:06,2019-01-21 04:59:16,0,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",6A018124,Shield_USB,E:\Shield Documents,,My Computer\E:\,0xA0140,,,,,PropertyStoreDataBlock,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2019-01-19 03:12:58,2019-01-21 19:16:14,2022-10-07 05:06:43,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,14,9,1,2019-01-19 06:06:35,2019-01-21 05:04:43,desktop-16pttv2,34:68:95:94:f8:5c,knownfolder:{754AC886-DF64-4CBA-86B5-F7FBF4FBCEF5} ==> ThisPCDesktopFolder,4,True,6047036d-1bb0-11e9-abc4-34689594f85c,6047036d-1bb0-11e9-abc4-34689594f85c,e95f98a4-5003-4af7-af19-1e01307a1dad,e95f98a4-5003-4af7-af19-1e01307a1dad,2019-01-19 03:11:57,2019-01-21 05:04:43,2019-01-21 05:04:43,4096,,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),EA174897,,C:\Users\srogers\Desktop,,My Computer\Desktop,,,avengers01,34:68:95:94:f8:5c,2019-01-19 06:06:35,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2019-01-19 03:12:58,2019-01-21 19:16:14,2022-10-07 05:06:43,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,14,10,2,2019-01-19 06:06:35,2019-01-19 03:12:58,desktop-16pttv2,34:68:95:94:f8:5c,knownfolder:{374DE290-123F-4565-9164-39C4925E467B} ==> Downloads,3,True,6047036e-1bb0-11e9-abc4-34689594f85c,6047036e-1bb0-11e9-abc4-34689594f85c,e95f98a4-5003-4af7-af19-1e01307a1dad,e95f98a4-5003-4af7-af19-1e01307a1dad,2019-01-19 03:11:57,2019-01-19 03:12:57,2019-01-19 03:12:57,0,,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),EA174897,,C:\Users\srogers\Downloads,,My Computer\Downloads,,,desktop-16pttv2,34:68:95:94:f8:5c,2019-01-19 06:06:35,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2019-01-19 03:12:58,2019-01-21 19:16:14,2022-10-07 05:06:43,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,14,11,6,2019-01-19 06:06:35,2019-01-19 03:12:58,desktop-16pttv2,34:68:95:94:f8:5c,knownfolder:{18989B1D-99B5-455B-841C-AB7C74E4DDFC} ==> Videos,3,False,60470367-1bb0-11e9-abc4-34689594f85c,60470367-1bb0-11e9-abc4-34689594f85c,e95f98a4-5003-4af7-af19-1e01307a1dad,e95f98a4-5003-4af7-af19-1e01307a1dad,2019-01-19 03:11:57,2019-01-19 03:12:57,2019-01-19 03:12:57,0,,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),EA174897,,C:\Users\srogers\Videos,,My Computer\Videos,,,desktop-16pttv2,34:68:95:94:f8:5c,2019-01-19 06:06:35,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
