SourceFile,SourceCreated,SourceModified,SourceAccessed,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,NetworkPath,CommonPath,Arguments,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,MACVendor,TrackerCreatedOn,ExtraBlocksPresent
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\UKknifeBan.lnk,2018-04-05 05:51:41,2018-04-05 05:51:41,2018-04-05 05:51:41,,,,0,..\..\..\..\..\Desktop\UKknifeBan.pdf,C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\UKknifeBan.pdf,,,,My Computer\Desktop\,0x0,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\key.lnk,2018-03-27 09:23:14,2018-03-27 09:23:14,2018-03-27 09:23:14,2018-03-22 03:05:22,2018-03-22 03:05:24,2018-03-22 03:05:24,183,,D:\,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking","Removable storage media (Floppy, USB)",4C36F4AC,CloudLog,D:\key.txt,,,,D:\\,0x318200,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\SelfDefenseisMurder.lnk,2018-04-05 05:48:40,2018-04-05 05:48:40,2018-04-05 05:48:40,,,,0,..\..\..\..\..\Desktop\SelfDefenseisMurder.pdf,C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\SelfDefenseisMurder.pdf,,,,My Computer\Desktop\,0x0,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\ms-settingsdefaultapps.lnk,2018-03-27 23:39:13,2018-03-27 23:39:13,2018-03-27 23:39:13,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,Internet Explorer (Homepage)\ms-settings:defaultapps,,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\OneDrive.lnk,2018-03-27 09:51:12,2018-04-05 02:01:58,2018-04-05 02:01:58,2018-03-27 09:21:44,2018-04-04 05:59:44,2018-04-04 05:59:44,4096,..\..\..\..\..\OneDrive,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, HasRelativePath, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\OneDrive,,,,OneDrive,,,desktop-pm6c56d,ec:f4:bb:48:7f:ed,DELL,2018-03-27 12:13:12,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\DemLogic.lnk,2018-03-31 04:19:35,2018-03-31 04:19:35,2018-03-31 04:19:35,,,,0,..\..\..\..\..\Desktop\DemLogic.jpg,C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\DemLogic.jpg,,,,My Computer\Desktop\,0x0,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\CloudLog (D).lnk,2018-03-27 09:23:14,2018-03-27 09:23:15,2022-11-17 00:26:43,1980-01-01 04:00:00,1980-01-01 04:00:00,1980-01-01 04:00:00,0,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking","Removable storage media (Floppy, USB)",4C36F4AC,CloudLog,D:\,,,,D:\,,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\The Cloudy Manifesto.lnk,2018-04-02 01:35:27,2018-04-03 06:11:21,2018-04-03 06:11:21,2018-04-02 01:35:27,2018-04-02 01:35:27,2018-04-02 01:35:27,816313,..\..\..\..\..\Desktop\The Cloudy Manifesto.docx,C:\Users\jcloudy\Desktop,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\The Cloudy Manifesto.docx,,,,My Computer\Desktop\,0x21337,0x4,desktop-pm6c56d,28:e3:47:01:77:77,LITEON,2018-03-30 05:03:09,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\System.lnk,2018-03-27 09:32:20,2018-03-27 09:32:20,2018-03-27 09:32:20,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,Control Panel\System and Security\System,,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\MyTiredHead.lnk,2018-03-30 03:31:10,2018-03-30 03:31:10,2018-03-30 03:31:10,,,,0,..\..\..\..\..\Desktop\MyTiredHead.jpg,C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\MyTiredHead.jpg,,,,My Computer\Desktop\,0x0,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\Operation 2nd Hand Smoke.lnk,2018-04-04 04:56:19,2018-04-04 05:31:23,2018-04-04 05:31:23,2018-04-04 04:56:19,2018-04-04 05:11:27,2018-04-04 05:11:27,4408968,..\..\..\..\..\Desktop\Operation 2nd Hand Smoke.pptx,C:\Users\jcloudy\Desktop,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\Operation 2nd Hand Smoke.pptx,,,,My Computer\Desktop\,0x2356D,0xE,desktop-pm6c56d,28:e3:47:01:77:77,LITEON,2018-03-30 05:03:09,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\DarkWolf.lnk,2018-03-30 03:33:50,2018-03-30 03:33:50,2018-03-30 03:33:50,,,,0,..\..\..\..\..\Desktop\DarkWolf.png,C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\DarkWolf.png,,,,My Computer\Desktop\,0x0,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\System and Security.lnk,2018-03-27 09:32:20,2018-03-27 09:32:20,2018-03-27 09:32:20,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,Control Panel\System and Security,,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\Hardware and Sound.lnk,2018-04-06 08:31:50,2018-04-06 08:31:50,2018-04-06 08:31:50,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,Control Panel\Hardware and Sound,,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\Huckleberry.lnk,2018-03-31 04:23:25,2018-03-31 04:23:25,2018-03-31 04:23:25,,,,0,..\..\..\..\..\Desktop\Huckleberry.png,C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\Huckleberry.png,,,,My Computer\Desktop\,0x0,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\Sheep.lnk,2018-03-30 03:32:40,2018-04-02 01:12:52,2018-04-02 01:12:52,2018-03-30 03:32:40,2018-03-30 03:32:40,2018-03-30 03:32:34,11073,..\..\..\..\..\Desktop\Sheep.jpg,C:\Users\jcloudy\Desktop,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\Sheep.jpg,,,,My Computer\Desktop\,0x22D31,0xB,desktop-pm6c56d,28:e3:47:01:77:77,LITEON,2018-03-30 05:03:09,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\Downloads.lnk,2018-03-29 23:17:51,2018-04-06 12:27:08,2018-04-06 12:27:08,2018-03-27 09:18:58,2018-04-06 08:30:22,2018-04-06 08:30:22,65536,..\..\..\..\..\Downloads,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, HasRelativePath, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Downloads,,,,My Computer\Downloads,,,desktop-pm6c56d,ec:f4:bb:48:7f:ed,DELL,2018-03-27 12:13:12,"TrackerDataBaseBlock, PropertyStoreDataBlock"
