RunTime,ExecutableName
2018-04-03 00:12:33,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\FONTDRVHOST.EXE
2018-04-01 15:14:18,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\FONTDRVHOST.EXE
2018-03-31 14:50:51,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\FONTDRVHOST.EXE
2018-03-31 14:46:54,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\FONTDRVHOST.EXE
2018-03-27 00:11:01,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\FONTDRVHOST.EXE
2018-04-03 00:58:47,\VOLUME{01d3c565d4f49eb4-60d53ee6}\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWS.PHOTOS_2018.18021.12420.0_X64__8WEKYB3D8BBWE\MICROSOFT.PHOTOS.EXE
2018-03-31 15:37:20,\VOLUME{01d3c565d4f49eb4-60d53ee6}\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWS.PHOTOS_2018.18021.12420.0_X64__8WEKYB3D8BBWE\MICROSOFT.PHOTOS.EXE
2018-03-31 15:37:13,\VOLUME{01d3c565d4f49eb4-60d53ee6}\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWS.PHOTOS_2018.18021.12420.0_X64__8WEKYB3D8BBWE\MICROSOFT.PHOTOS.EXE
2018-01-30 16:22:49,\VOLUME{01d3c565d4f49eb4-60d53ee6}\PROGRAM FILES (X86)\GUM8C3.TMP\GOOGLEUPDATE.EXE
2018-04-03 16:31:16,\VOLUME{01d3c565d4f49eb4-60d53ee6}\PROGRAM FILES (X86)\GOOGLE\UPDATE\GOOGLEUPDATE.EXE
2018-04-03 16:31:16,\VOLUME{01d3c565d4f49eb4-60d53ee6}\PROGRAM FILES (X86)\GOOGLE\UPDATE\GOOGLEUPDATE.EXE
2018-04-03 14:28:50,\VOLUME{01d3c565d4f49eb4-60d53ee6}\PROGRAM FILES (X86)\GOOGLE\UPDATE\GOOGLEUPDATE.EXE
